Epoch,Train Loss,Val Loss,Learning Rate,Pred Entropy,Target Entropy
99,1.9435,2.0499,0.00012500,2.8235,0.9969
100,1.9362,2.0512,0.00012500,2.8370,0.9969
101,1.9298,2.0520,0.00012500,2.8127,0.9969
102,1.9263,2.0553,0.00012500,2.7751,0.9969
103,1.9222,2.0495,0.00012500,2.8037,0.9969
104,1.9196,2.0497,0.00012500,2.8142,0.9969
105,1.9161,2.0508,0.00012500,2.8260,0.9969
106,1.9130,2.0534,0.00012500,2.7741,0.9969
107,1.9110,2.0458,0.00012500,2.8100,0.9969
108,1.9089,2.0464,0.00012500,2.7626,0.9969
109,1.9073,2.0431,0.00012500,2.8207,0.9969
110,1.9058,2.0465,0.00012500,2.7894,0.9969
111,1.9040,2.0474,0.00012500,2.7328,0.9969
112,1.9035,2.0446,0.00012500,2.7615,0.9969
113,1.9021,2.0461,0.00012500,2.8013,0.9969
114,1.9010,2.0469,0.00012500,2.8058,0.9969
115,1.8998,2.0540,0.00006250,2.7612,0.9969
116,1.8748,2.0262,0.00006250,2.7380,0.9969
117,1.8629,2.0304,0.00006250,2.7570,0.9969
118,1.8575,2.0232,0.00006250,2.7378,0.9969
119,1.8522,2.0230,0.00006250,2.6909,0.9969
120,1.8500,2.0270,0.00006250,2.6657,0.9969
121,1.8461,2.0262,0.00006250,2.6847,0.9969
122,1.8437,2.0240,0.00006250,2.6994,0.9969
123,1.8416,2.0228,0.00006250,2.7164,0.9969
124,1.8400,2.0224,0.00006250,2.6802,0.9969
125,1.8372,2.0193,0.00006250,2.6858,0.9969
126,1.8350,2.0179,0.00006250,2.7137,0.9969
127,1.8336,2.0209,0.00006250,2.6960,0.9969
128,1.8332,2.0168,0.00006250,2.6662,0.9969
129,1.8305,2.0213,0.00006250,2.6643,0.9969
130,1.8295,2.0198,0.00006250,2.6767,0.9969
131,1.8272,2.0218,0.00006250,2.6463,0.9969
132,1.8271,2.0218,0.00006250,2.6996,0.9969
133,1.8256,2.0196,0.00006250,2.7178,0.9969
134,1.8243,2.0185,0.00003125,2.6380,0.9969
135,1.8091,2.0145,0.00003125,2.6234,0.9969
136,1.8015,2.0124,0.00003125,2.6850,0.9969
137,1.7984,2.0109,0.00003125,2.6584,0.9969
138,1.7953,2.0131,0.00003125,2.6083,0.9969
139,1.7929,2.0134,0.00003125,2.6013,0.9969
140,1.7920,2.0137,0.00003125,2.6098,0.9969
141,1.7901,2.0089,0.00003125,2.6050,0.9969
142,1.7881,2.0102,0.00003125,2.6290,0.9969
143,1.7853,2.0086,0.00003125,2.6308,0.9969
144,1.7852,2.0120,0.00003125,2.5843,0.9969
145,1.7826,2.0123,0.00003125,2.6015,0.9969
146,1.7821,2.0110,0.00003125,2.6069,0.9969
147,1.7791,2.0084,0.00003125,2.6204,0.9969
148,1.7797,2.0084,0.00003125,2.6029,0.9969
149,1.7789,2.0143,0.00003125,2.5829,0.9969
150,1.7771,2.0109,0.00003125,2.5950,0.9969
151,1.7768,2.0107,0.00003125,2.5850,0.9969
152,1.7748,2.0105,0.00003125,2.6180,0.9969
153,1.7726,2.0077,0.00003125,2.5957,0.9969
154,1.7721,2.0117,0.00003125,2.6072,0.9969
155,1.7710,2.0150,0.00003125,2.6223,0.9969
156,1.7696,2.0112,0.00003125,2.5863,0.9969
157,1.7696,2.0137,0.00003125,2.5578,0.9969
158,1.7683,2.0092,0.00003125,2.6034,0.9969
159,1.7679,2.0118,0.00001563,2.6053,0.9969
160,1.7589,2.0077,0.00001563,2.5776,0.9969
161,1.7542,2.0087,0.00001563,2.5899,0.9969
162,1.7526,2.0058,0.00001563,2.5846,0.9969
163,1.7506,2.0090,0.00001563,2.5794,0.9969
164,1.7493,2.0042,0.00001563,2.5893,0.9969
165,1.7477,2.0079,0.00001563,2.5657,0.9969
166,1.7466,2.0076,0.00001563,2.5573,0.9969
167,1.7453,2.0051,0.00001563,2.5680,0.9969
168,1.7449,2.0040,0.00001563,2.5766,0.9969
169,1.7441,2.0075,0.00001563,2.5544,0.9969
170,1.7434,2.0101,0.00000781,2.5536,0.9969
171,1.7389,2.0055,0.00000781,2.5706,0.9969
172,1.7361,2.0041,0.00000781,2.5480,0.9969
173,1.7349,2.0043,0.00000781,2.5744,0.9969
174,1.7345,2.0047,0.00000781,2.5500,0.9969
175,1.7336,2.0013,0.00000781,2.5467,0.9969
176,1.7333,2.0049,0.00000781,2.5696,0.9969
177,1.7323,2.0081,0.00000781,2.5329,0.9969
178,1.7318,2.0050,0.00000781,2.5520,0.9969
179,1.7312,2.0035,0.00000781,2.5480,0.9969
180,1.7301,2.0042,0.00000781,2.5529,0.9969
181,1.7303,2.0014,0.00000391,2.5582,0.9969
182,1.7280,2.0019,0.00000391,2.5346,0.9969
183,1.7270,2.0054,0.00000391,2.5575,0.9969
184,1.7260,2.0033,0.00000391,2.5590,0.9969
185,1.7258,2.0061,0.00000391,2.5302,0.9969
186,1.7254,2.0004,0.00000391,2.5313,0.9969
