Epoch,Train Loss,Val Loss,MSE,MAE,R²,Learning Rate
87,0.055889,0.064535,0.064535,0.175304,0.701015,0.000075
88,0.055598,0.063985,0.063985,0.167918,0.703554,0.000075
89,0.055645,0.064098,0.064098,0.170188,0.703091,0.000075
90,0.055390,0.064433,0.064433,0.168190,0.702519,0.000075
91,0.055109,0.064259,0.064259,0.173036,0.702850,0.000075
92,0.054937,0.064058,0.064058,0.170534,0.702863,0.000075
93,0.054615,0.064786,0.064786,0.172220,0.702883,0.000075
94,0.054598,0.064494,0.064494,0.175250,0.702413,0.000075
95,0.054381,0.064110,0.064110,0.172875,0.703624,0.000075
96,0.054271,0.063172,0.063172,0.163255,0.706844,0.000075
97,0.054029,0.063895,0.063895,0.168839,0.705227,0.000075
98,0.053877,0.063819,0.063819,0.173968,0.703692,0.000075
99,0.053807,0.063449,0.063449,0.169389,0.705325,0.000075
100,0.053756,0.064124,0.064124,0.171936,0.702326,0.000075
101,0.053633,0.063264,0.063264,0.171049,0.708335,0.000075
102,0.053370,0.066411,0.066411,0.169706,0.695913,0.000075
103,0.053402,0.063441,0.063441,0.166653,0.705348,0.000075
104,0.053320,0.062912,0.062912,0.170493,0.708512,0.000075
105,0.053030,0.062638,0.062638,0.166714,0.709052,0.000075
106,0.052956,0.062273,0.062273,0.164645,0.710632,0.000075
107,0.052756,0.063633,0.063633,0.169664,0.705649,0.000075
108,0.052870,0.064065,0.064065,0.172252,0.706792,0.000075
109,0.052757,0.063021,0.063021,0.172050,0.707519,0.000075
110,0.052667,0.063312,0.063312,0.168327,0.706157,0.000075
111,0.052580,0.063239,0.063239,0.170308,0.707015,0.000075
112,0.052460,0.062530,0.062530,0.166368,0.709455,0.000075
113,0.052359,0.064013,0.064013,0.167077,0.704864,0.000075
114,0.052222,0.062522,0.062522,0.165268,0.709989,0.000037
115,0.051226,0.061761,0.061761,0.160326,0.713883,0.000037
116,0.050001,0.062252,0.062252,0.161315,0.712120,0.000037
117,0.049807,0.062512,0.062512,0.168624,0.712555,0.000037
118,0.049468,0.060942,0.060942,0.163963,0.717825,0.000037
119,0.049327,0.061412,0.061412,0.158385,0.715217,0.000037
120,0.049127,0.060881,0.060881,0.160205,0.717558,0.000037
121,0.048959,0.061001,0.061001,0.161335,0.716494,0.000037
122,0.048796,0.060625,0.060625,0.154080,0.719046,0.000037
123,0.048689,0.060906,0.060906,0.159316,0.718382,0.000037
124,0.048400,0.061256,0.061256,0.159605,0.715934,0.000037
125,0.048370,0.060611,0.060611,0.157635,0.719056,0.000037
126,0.048147,0.060708,0.060708,0.164355,0.718608,0.000037
127,0.048028,0.060804,0.060804,0.159618,0.717620,0.000037
128,0.047971,0.060533,0.060533,0.159170,0.719472,0.000037
129,0.047846,0.061271,0.061271,0.160087,0.715473,0.000037
130,0.048003,0.060683,0.060683,0.159173,0.718445,0.000037
131,0.047683,0.060109,0.060109,0.154767,0.721565,0.000037
132,0.047561,0.060487,0.060487,0.156676,0.719953,0.000037
133,0.047543,0.061623,0.061623,0.160432,0.715629,0.000037
134,0.047404,0.060676,0.060676,0.160059,0.718335,0.000037
135,0.047314,0.061478,0.061478,0.159449,0.715682,0.000037
136,0.046990,0.061263,0.061263,0.164017,0.715883,0.000037
137,0.047281,0.060107,0.060107,0.155664,0.720970,0.000037
138,0.047093,0.059957,0.059957,0.156630,0.721891,0.000037
139,0.046854,0.060979,0.060979,0.159106,0.717459,0.000037
140,0.046808,0.059872,0.059872,0.156346,0.722407,0.000037
141,0.046809,0.061174,0.061174,0.158062,0.717332,0.000037
142,0.046608,0.060931,0.060931,0.156552,0.717423,0.000037
143,0.046766,0.060141,0.060141,0.154663,0.721642,0.000037
144,0.046652,0.061663,0.061663,0.161558,0.714993,0.000037
145,0.046653,0.060278,0.060278,0.156501,0.720546,0.000037
146,0.046519,0.059732,0.059732,0.154622,0.723172,0.000037
147,0.046404,0.061216,0.061216,0.156032,0.716519,0.000037
148,0.046387,0.061381,0.061381,0.159370,0.716311,0.000037
149,0.046116,0.060576,0.060576,0.155811,0.719066,0.000037
150,0.046276,0.060848,0.060848,0.154152,0.718723,0.000037
151,0.046135,0.060795,0.060795,0.161293,0.719162,0.000037
152,0.046019,0.060427,0.060427,0.156261,0.719552,0.000037
